Interface       IPAddress                        S/L  Speed/Duplex  Description
#-------       ----------                        ---- ------------  -----------
dp0ce0          -                                 u/D  auto/auto         -
dp0ce1          -                                 u/D  auto/auto         -
dp0p7s0         10.156.43.100/24                  u/u  a-1g/a-full   Mgmt Network
dp0xe0          -                                 u/u  10g/full          -
dp0xe1          -                                 u/u  10g/full          -
dp0xe11         10.156.21.2/20                    u/u  1g/full           -
dp0xe12         -                                 A/D  auto/auto     link-to-TimeProvider4100-eth4
dp0xe13         -                                 u/D  auto/auto          -
lo1             1.1.1.1/32                        u/u  -/-                -
sw0             -                                 u/u  -/-                -
sw0.50          10.0.0.2/30                       u/u  -/-                -
sw0.100         192.168.4.1/24                    u/D  -/-                -
sw0.1001        100.100.0.1/24                    u/u  -/-                -
-                100:100::1/64                     -    -                 -
sw0.1002        192.168.1.2/30                    u/u  -/-                -
-                192.168.2.2/30                    -    -                 -
-                cef:0:4:3:2:1:0:4/128             -    -                 -
sw0.1026        100.100.8.1/24                    u/u  -/-                -
-                100:100:8::1/64                    -   -                 -
sw0.4004        4.4.0.1/24                        u/D  -/-                -
